Gender,Rate,Age Next Birthday,Loan Term,Premium Rate
M,0.04,20,1,4.34
M,0.04,21,1,4.34
M,0.04,22,1,4.34
M,0.04,23,1,4.34
M,0.04,24,1,4.34
M,0.04,25,1,4.34
M,0.04,26,1,4.73
M,0.04,27,1,4.73
M,0.04,28,1,4.73
M,0.04,29,1,4.73
M,0.04,30,1,4.73
M,0.04,31,1,4.73
M,0.04,32,1,4.73
M,0.04,33,1,4.73
M,0.04,34,1,4.73
M,0.04,35,1,4.73
M,0.04,36,1,4.79
M,0.04,37,1,5.14
M,0.04,38,1,5.42
M,0.04,39,1,5.69
M,0.04,40,1,6.42
M,0.04,41,1,6.44
M,0.04,42,1,6.88
M,0.04,43,1,7.32
M,0.04,44,1,7.76
M,0.04,45,1,8.21
M,0.04,46,1,8.65
M,0.04,47,1,9.30
M,0.04,48,1,10.10
M,0.04,49,1,11.07
M,0.04,50,1,12.25
M,0.04,51,1,13.61
M,0.04,52,1,14.51
M,0.04,53,1,15.66
M,0.04,54,1,17.07
M,0.04,55,1,18.75
M,0.04,56,1,24.08
M,0.04,57,1,29.05
M,0.04,58,1,34.41
M,0.04,59,1,40.18
M,0.04,60,1,46.40
M,0.04,61,1,47.18
M,0.04,62,1,50.60
M,0.04,63,1,56.73
M,0.04,64,1,63.41
M,0.04,65,1,70.64
M,0.03,20,1,4.33
M,0.03,21,1,4.33
M,0.03,22,1,4.33
M,0.03,23,1,4.33
M,0.03,24,1,4.33
M,0.03,25,1,4.33
M,0.03,26,1,4.72
M,0.03,27,1,4.72
M,0.03,28,1,4.72
M,0.03,29,1,4.72
M,0.03,30,1,4.72
M,0.03,31,1,4.72
M,0.03,32,1,4.72
M,0.03,33,1,4.72
M,0.03,34,1,4.72
M,0.03,35,1,4.72
M,0.03,36,1,4.79
M,0.03,37,1,5.13
M,0.03,38,1,5.41
M,0.03,39,1,5.68
M,0.03,40,1,6.41
M,0.03,41,1,6.43
M,0.03,42,1,6.87
M,0.03,43,1,7.31
M,0.03,44,1,7.75
M,0.03,45,1,8.19
M,0.03,46,1,8.63
M,0.03,47,1,9.28
M,0.03,48,1,10.08
M,0.03,49,1,11.05
M,0.03,50,1,12.21
M,0.03,51,1,13.57
M,0.03,52,1,14.47
M,0.03,53,1,15.63
M,0.03,54,1,17.01
M,0.03,55,1,18.71
M,0.03,56,1,24.02
M,0.03,57,1,28.99
M,0.03,58,1,34.34
M,0.03,59,1,40.10
M,0.03,60,1,46.31
M,0.03,61,1,47.09
M,0.03,62,1,50.51
M,0.03,63,1,56.63
M,0.03,64,1,63.29
M,0.03,65,1,70.51
F,0.04,20,1,4.14
F,0.04,21,1,4.14
F,0.04,22,1,4.14
F,0.04,23,1,4.14
F,0.04,24,1,4.14
F,0.04,25,1,4.14
F,0.04,26,1,4.14
F,0.04,27,1,4.16
F,0.04,28,1,4.17
F,0.04,29,1,4.18
F,0.04,30,1,4.19
F,0.04,31,1,4.21
F,0.04,32,1,4.23
F,0.04,33,1,4.25
F,0.04,34,1,4.27
F,0.04,35,1,4.29
F,0.04,36,1,4.31
F,0.04,37,1,4.36
F,0.04,38,1,4.40
F,0.04,39,1,4.50
F,0.04,40,1,4.99
F,0.04,41,1,5.56
F,0.04,42,1,5.94
F,0.04,43,1,6.31
F,0.04,44,1,6.68
F,0.04,45,1,7.05
F,0.04,46,1,7.42
F,0.04,47,1,7.56
F,0.04,48,1,7.82
F,0.04,49,1,9.36
F,0.04,50,1,10.02
F,0.04,51,1,10.82
F,0.04,52,1,11.95
F,0.04,53,1,13.29
F,0.04,54,1,14.83
F,0.04,55,1,16.58
F,0.04,56,1,18.57
F,0.04,57,1,18.98
F,0.04,58,1,19.33
F,0.04,59,1,19.72
F,0.04,60,1,20.09
F,0.04,61,1,20.90
F,0.04,62,1,25.89
F,0.04,63,1,31.33
